utc_ts,market,borrow_usd,collateral_usd,book_ltv,liq_10,liq_20,liq_30,capacity_ab_usd,distance_to_capacity
2026-09-19T18:06:38+00:00,WETH,84734279,204045471,0.4153,189,7287433,16019646,20720821,0.35
2026-09-19T18:06:38+00:00,cbETH,11726363,31888649,0.3677,212,1487821,2292065,4166307,0.41
2026-09-19T18:06:38+00:00,cbXRP,48645795,144316678,0.3371,258717,4055834,10990213,1285189,0.14
2026-09-19T18:06:38+00:00,SOL,5444956,17157108,0.3174,108875,769591,1346253,1592925,0.34
2026-09-19T18:06:38+00:00,cbDOGE,2332027,7041176,0.3312,39180,183235,464262,285368,0.26
2026-09-19T18:06:38+00:00,cbADA,2024190,6791904,0.298,17926,74696,241516,194659,0.26
2026-09-19T18:06:38+00:00,cbLTC,770135,2303859,0.3343,386,199674,286099,236939,0.24
2026-09-19T18:06:38+00:00,JitoSOL,2239908,7284208,0.3075,664,125499,356675,1592925,0.56
2026-09-19T19:56:55+00:00,cbBTC,1427326010,3070898858,0.4648,2703111,72673994,232769049,8687019,0.11
2026-09-19T19:56:55+00:00,WETH,84795675,203297729,0.4171,709470,7456864,16232887,20381183,0.34
2026-09-19T19:56:55+00:00,cbETH,11728288,31714610,0.3698,13049,1492212,2315742,3894974,0.4
2026-09-19T19:56:55+00:00,cbXRP,48663246,144728550,0.3362,197854,3980783,10749551,1390124,0.14
2026-09-19T19:56:55+00:00,SOL,5454576,17118838,0.3186,176319,777493,1438125,1351094,0.3
2026-09-19T19:56:55+00:00,cbDOGE,2334741,7061702,0.3306,39183,182611,464593,291747,0.26
2026-09-19T19:56:55+00:00,cbADA,2026423,6818344,0.2972,41443,75488,238220,186629,0.26
2026-09-19T19:56:55+00:00,cbLTC,770252,2297818,0.3352,450,199585,287453,182542,0.2
2026-09-19T19:56:55+00:00,JitoSOL,2240668,7263683,0.3085,13520,141029,425471,1351094,0.49
2026-09-19T23:10:56+00:00,cbBTC,1427266013,3065807576,0.4655,4688777,72498755,237398022,9643890,0.11
2026-09-19T23:10:56+00:00,WETH,84926348,202938028,0.4185,1557693,7702431,16535774,19623550,0.34
2026-09-19T23:10:56+00:00,cbETH,11732010,31660717,0.3706,13789,1585812,2314171,4482980,0.41
2026-09-19T23:10:56+00:00,cbXRP,48717678,143164967,0.3403,573927,4964991,11877109,1488594,0.13
2026-09-19T23:10:56+00:00,SOL,5460042,17072604,0.3198,176157,779609,1441853,1303092,0.28
2026-09-19T23:10:56+00:00,cbDOGE,2329473,6849447,0.3401,56707,193870,509526,250576,0.23
2026-09-19T23:10:56+00:00,cbADA,2025940,6772426,0.2991,42093,120473,252019,195773,0.26
2026-09-19T23:10:56+00:00,cbLTC,771047,2296868,0.3357,454,208170,288131,251436,0.25
2026-09-19T23:10:56+00:00,JitoSOL,2239561,7223295,0.31,15456,143960,429331,1303092,0.48
2026-09-20T01:14:27+00:00,cbBTC,1427821612,3067635359,0.4654,4247235,72620590,235845065,9828610,0.11
2026-09-20T01:14:27+00:00,WETH,84991939,202608129,0.4195,1726187,7733917,16763907,21011141,0.34
2026-09-20T01:14:27+00:00,cbETH,11742340,31639879,0.3711,23556,1587413,2323738,4613690,0.42
2026-09-20T01:14:27+00:00,cbXRP,48813078,142230739,0.3432,633914,5299629,12248055,1706696,0.13
2026-09-20T01:14:27+00:00,SOL,5465613,17124563,0.3192,175184,778053,1434257,1438444,0.31
2026-09-20T01:14:27+00:00,cbDOGE,2340209,6900742,0.3391,56711,186920,516275,252156,0.23
